小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,0,4,342.81001,7.94,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,8.02
0,0,4,511.04062,5.54,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,15.89
0,0,4,510.97162,5.56,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,16.33
0,0,4,510.83364,5.5,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,16.02
0,0,4,388.85227,-1.62,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,10.21
0,0,4,388.50049,-1.66,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,10.46
0,0,4,389.11471,-2.08,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,10.64
0,0,2,311.06029,1.169,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.03
0,0,2,311.406,1.213,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.07
0,0,2,311.1127,1.233,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.04
1,0,4,297.418,9.5,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,6.38
1,0,4,299.63864,2.01,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,6.63
1,0,4,305.09524,8.85,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,7.18
1,0,4,421.77578,14.57,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,12.33
1,0,4,412.8288,6.85,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,11.6
1,0,4,410.06035,14.39,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,2,3791,11.6
1,0,2,164.83221,-1.76,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.34
1,0,2,161.25425,-7.156,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.02
1,0,2,159.55617,-2.296,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,1.94
0,1,0,171.86507,-4.06,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.2
0,1,0,169.88323,-2.7,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,1.95
0,1,0,169.23108,-3.59,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,1.97
0,0,2,505.52824,30.137,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,17.58
0,0,2,505.65942,32.097,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,17.45
0,0,2,505.95102,30.077,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,17.78
0,0,4,321.94137,-5.14,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,8.2
0,0,4,321.74298,-4.99,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,8.32
0,0,4,322.61352,-5.35,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,8.4
0,0,4,325.64859,-9.03,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,7.76
0,0,4,325.1131,-9.07,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,7.85
0,0,4,325.74394,-9.14,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,29,2,3586,7.71
1,0,3,295.82627,1.79,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,6.82
1,0,3,292.71293,-4.39,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,6.39
1,0,3,290.8809,1.87,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,6.87
1,0,4,368.72647,7.82,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,9.88
1,0,4,369.01484,0.98,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,10.12
1,0,4,369.84884,7.76,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,9.67
0,0,4,404.01564,5.91,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.32
0,0,4,404.09281,6.37,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.21
0,0,4,403.38511,5.92,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.05
0,0,3,406.4823,1,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,11.19
0,0,3,406.54218,1.02,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.82
0,0,3,406.74522,0.95,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.87
0,0,3,406.60775,1.01,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.76
0,0,3,406.55812,0.97,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,11.02
0,0,3,406.57797,0.96,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.73
0,1,3,328.46306,-6.496,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.37
0,1,3,328.85206,-6.176,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.46
0,1,3,328.96308,-6.236,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.66
0,1,3,325.60596,-6.636,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.16
0,1,3,325.34198,-6.126,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.24
0,1,3,324.24711,-6.556,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,7.18
1,0,2,178.77508,13.71,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,2.04
1,0,2,181.08839,7.51,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,1.7
1,0,2,184.74587,14.27,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,2
0,0,2,518.81369,18.633,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,19.13
0,0,2,519.94009,18.73,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,19.48
0,0,2,520.23809,18.657,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,18.89
0,0,2,353.04471,-3.098,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,9.32
0,0,2,353.06336,1.742,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,10.08
0,0,2,353.19302,-3.038,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,9.79
0,0,5,227.29468,-2.3,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.84
0,0,5,226.99334,-2.42,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.8
0,0,5,226.9198,-2.17,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.88
0,0,4,530.01375,-5.02,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,19.56
0,0,4,530.01375,-5.02,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,19.56
0,0,4,530.24297,-4.72,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.07
0,0,4,530.24297,-4.72,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.07
0,0,4,530.67417,-4.66,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.36
0,0,4,530.67417,-4.66,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.36
0,1,3,301.21562,-6.19,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.92
0,1,3,301.18625,-5.94,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.81
0,1,3,300.17948,-5.66,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.78
0,1,3,299.15946,-6.12,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.63
0,1,3,299.0521,-5.89,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.82
0,1,3,297.79947,-5.5,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.63
0,0,2,418.94526,-9.273,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,32,3,4054,12.79
0,0,2,419.31469,-9.353,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,32,3,4054,12.91
0,0,2,419.24992,-9.413,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,32,3,4054,12.91
0,0,2,425.95373,11.696,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,11.7
0,0,2,426.08404,11.576,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,11.95
0,0,2,425.55058,11.626,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,11.86
0,1,4,375.33816,-9.86,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,9.18
0,1,4,376.31313,-3.78,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,9.54
0,1,4,379.66176,-9.58,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,8.64
0,1,0,260.68556,-9.853,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,26,2,5057,5.05
0,1,0,258.88173,-2.573,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,26,2,5057,5.44
0,1,0,259.2912,-9.95,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,26,2,5057,5.17
0,0,4,355.69678,7.21,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,9.54
0,0,4,356.11158,6.32,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,10.47
0,0,4,356.36394,7.16,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,9.5
0,0,2,315.98707,0.817,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.24
0,0,2,315.82992,0.857,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.33
0,0,2,316.09011,0.707,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.24
0,1,0,195.29196,4.6,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.32
0,1,0,194.55805,4.62,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.19
0,1,0,193.95692,4.7,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.22
0,1,0,200.08524,4.53,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.39
0,1,0,200.13122,4.62,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.23
0,1,0,200.09032,4.56,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,3.21
0,0,2,227.58044,-0.6,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,4.27
0,0,2,227.8844,-0.33,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,4.4
0,0,2,227.26476,-0.21,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.43
0,1,2,390.48256,-19.084,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,9.87
0,1,2,391.73772,-14.16,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,11.26
0,1,2,393.20229,-19.017,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,10.12
1,0,0,217.04679,-7.59,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.53
1,0,0,215.21059,-8.56,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.93
1,0,0,215.40653,-7.77,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.57
1,0,2,318.21729,5.466,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.63
1,0,2,317.17288,5.476,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,7.71
1,0,2,316.37476,5.356,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,6.87
1,0,4,419.54685,15.44,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.47
1,0,4,412.66167,8.2,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.38
1,0,4,409.1229,14.91,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,1,3584,12.15
0,0,2,481.63732,-4.477,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,16.48
0,0,2,481.59204,-4.467,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,16.66
0,0,2,481.57315,-4.427,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,16.87
1,0,4,368.2243,8.02,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3584,9.78
1,0,4,368.07166,1.61,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3584,9.78
1,0,4,371.20687,8.36,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3584,9.99
0,1,2,360.46895,-28.628,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.21
0,1,2,361.58512,-23.738,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.33
0,1,2,362.74866,-28.918,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,8.28
0,0,4,635.66607,25.38,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,27.77
0,0,4,634.26449,25.92,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,28.44
0,0,4,633.41997,25.406,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,27.82
0,0,2,310.34504,1.246,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.87
0,0,2,311.41309,1.138,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.16
0,0,2,311.48563,1.225,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.14
0,0,2,169.32919,5.57,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.57
0,0,2,170.42402,5.96,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.06
0,0,2,168.93132,5.8,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,2.3
0,0,4,538.4134,5.3,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.12
0,0,4,538.32205,5.14,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.19
0,0,4,538.51476,5.26,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,20.07
0,0,2,326.73622,-2.286,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,6.62
0,0,2,326.60307,-2.176,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,6.55
0,0,2,326.58038,-2.256,76000,64320,0.1592,18.88,0.00002,732.6,210.93,6.96,24,2,16615,6.77
0,1,2,359.66212,-29.019,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.26
0,1,2,362.01392,-24.228,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.41
0,1,2,362.95948,-29.18,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.23
0,0,4,511.0077,5.48,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,2,4331,16.24
0,0,4,511.13692,5.62,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,2,4331,16.65
0,0,4,510.72887,5.47,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,31,2,4331,16.34
1,0,2,317.60066,31.547,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.66
1,0,2,316.56932,31.633,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.66
1,0,2,317.52793,31.531,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.78
1,0,2,458.61452,45.5,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,16.54
1,0,2,458.6804,39.14,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,16.68
1,0,2,458.42757,45.38,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,17.04
0,0,0,411.76901,1.61,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,11.31
0,0,0,411.69503,1.56,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.89
0,0,0,411.6838,1.68,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.94
0,0,0,411.67574,1.59,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.6
0,0,0,411.69111,1.65,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,11.14
0,0,0,411.79596,1.76,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,10.99
0,0,4,478.38254,0.07,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,15.43
0,0,4,478.51257,-0.06,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,15.01
0,0,4,478.00216,-0.12,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,15.01
1,0,4,412.79112,26.06,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,2,3787,12.74
1,0,4,407.24778,18.54,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,2,3787,11.64
1,0,4,404.24099,26.07,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,2,3787,12.45
1,0,0,307.97165,53.23,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.85
1,0,0,307.77214,53.3,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.75
1,0,0,306.85911,53.19,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.77
1,0,0,310.18916,53.16,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.71
1,0,0,310.5143,53.27,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.8
1,0,0,309.82251,53.22,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,5.85
1,0,0,492.76856,12.44,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,17.6
1,0,0,489.52279,5.82,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,17.95
1,0,0,487.25265,12.2,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,4949,17.28
0,0,3,388.78109,7.8,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,10.14
0,0,3,388.55388,7.88,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,9.82
0,0,3,388.81931,8,65000,103670,0.0739,26.8,0.00002,1347.5,425.24,7.5,21,2,1384,9.81
0,1,3,210.4379,-6.846,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.2
0,1,3,210.20036,-6.646,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.36
0,1,3,209.12396,-6.616,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.17
0,1,3,211.83255,-6.716,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.36
0,1,3,211.98436,-6.816,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.19
0,1,3,211.10723,-6.896,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,1939,3.17
0,0,4,486.79029,3.075,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,17.05
0,0,4,487.14396,2.689,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,16.93
0,0,4,488.5416,3.275,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,17.21
0,1,2,274.28077,-7.014,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.31
0,1,2,270.15471,-12.121,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,4.85
0,1,2,265.51716,-6.815,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.4
0,0,1,567.17038,5.88,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,23
0,0,1,567.04465,6.14,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,21.87
0,0,1,567.01792,6.16,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,22.34
0,0,1,567.03005,5.97,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,23.08
0,0,1,567.15339,6.03,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,22.08
0,0,1,567.07225,6.27,66000,84580,0.0916,23.76,0.00002,1025.5,333.31,0,25,1,3264,22.74
0,0,4,334.17313,-4.96,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,7.82
0,0,4,334.35047,-4.92,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,7.94
0,0,4,334.1847,-4.82,69000,123400,0.07232,27.63,0.00002,1511,451.55,9.21,27,3,5058,7.84
0,0,2,291.67727,10.47,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.28
0,0,2,291.72366,5.91,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.17
0,0,2,291.75216,10.63,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6
1,0,4,368.32599,7.96,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,37,2,4329,10.15
1,0,4,369.19979,1.53,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,37,2,4329,10.09
1,0,4,370.71632,7.69,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,37,2,4329,10.13
0,0,2,425.75707,11.317,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,11.58
0,0,2,426.18202,11.528,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,11.64
0,0,2,426.26519,11.536,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,11.32
1,0,2,440.05848,13.85,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,13.03
1,0,2,438.22666,7.84,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,13.29
1,0,2,438.38385,13.55,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,13.16
0,0,4,488.38581,1.06,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,14.43
0,0,4,488.28109,1.9,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,15.04
0,0,4,488.15175,0.98,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,14.64
1,0,2,319.63635,5.367,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.24
1,0,2,318.02032,5.364,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.94
1,0,2,317.63018,5.093,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.03
0,1,4,408.85363,-14.52,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,11.9
0,1,4,406.49804,-7.15,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,11.97
0,1,4,404.38608,-14.62,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,32,3,4330,11.47
0,0,2,289.96062,2.797,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,6.23
0,0,2,289.48115,2.687,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,6.24
0,0,2,289.77757,2.707,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,6.15
0,0,2,230.34945,-1.27,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,3.75
0,0,2,230.0286,-1.324,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,3.86
0,0,2,230.3054,-1.404,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,3.38
0,0,4,492.01101,-4.02,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,16.4
0,0,4,492.12217,-3.95,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,16.99
0,0,4,491.65217,-4.01,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,28,3,3784,16.8
0,1,2,183.23936,-9.05,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,27,3,3732,2.63
0,1,2,183.02054,-12.01,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,27,3,3732,2.3
0,1,2,180.82601,-8.9,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,27,3,3732,2.72
0,0,4,437.96706,23.53,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,13.93
0,0,4,438.6767,23.2,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,14.25
0,0,4,440.67163,23.65,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,2,3805,13.9
0,1,3,334.90787,-8.93,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,7.43
0,1,3,334.83425,-8.85,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,7.21
0,1,3,334.01134,-8.71,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,7.23
0,1,3,332.87855,-8.73,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,7.15
0,1,3,333.08859,-8.75,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.85
0,1,3,331.96757,-8.69,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,26,4,1537,6.86
0,0,2,315.65645,0.783,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.46
0,0,2,314.45438,0.944,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.38
