小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,0,2,362.77393,3.287,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,9.78
0,0,2,362.8069,3.367,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,9.98
0,0,2,277.68072,-3.554,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.15
0,0,2,278.18109,-3.394,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.54
0,0,2,278.00579,-3.394,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,5.64
0,0,2,284.643,3.495,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.07
0,0,2,286.55865,3.16,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.4
0,0,2,285.40252,3.259,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,6.41
0,0,2,271.86331,2.032,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,5.5
0,0,2,272.75715,7.262,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,5.07
0,0,2,272.53548,2.272,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,2,3511,5.12
0,0,2,361.52988,5.14,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.66
0,0,2,361.57638,4.72,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,10.1
0,0,2,362.09082,5.04,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,10.08
0,0,2,322.91051,5.82,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.18
0,0,2,322.93867,5.8,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.23
0,0,2,322.88723,5.72,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.35
0,1,2,324.21366,-2.515,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,7.16
0,1,2,327.15392,2.648,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,6.98
0,1,2,329.36614,-2.227,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,7.22
0,0,2,375.60106,0.91,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,10.04
0,0,2,376.04154,1.07,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.61
0,0,2,376.50119,0.92,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,9.92
0,0,2,271.80949,2.022,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.52
0,0,2,272.82874,6.877,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.2
0,0,2,272.19093,1.893,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.35
0,1,2,324.69665,-1.952,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,6.84
0,1,2,326.84291,3.378,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,7.24
0,1,2,329.61898,-2.052,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,7.01
0,1,2,266.04262,2.63,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.9
0,1,2,261.26702,7.77,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.94
0,1,2,257.3489,3.01,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.68
0,1,2,325.83206,-1.48,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,6.39
